essay,topic,para_count,word_count,sentence_count,sentence_len(mean),sentence_len(max),sentence_len(min),avg_stop_word,unique_words,noun,verb,adj,pron,modal verb,occurrance_of_most_freq_word,rate_of_occurrance,avg sentence complexity,lexical diversity,word_sim_p_count,word_sim_p_score,word_sim_n_count,word_sim_n_score,word_sim_score,flesch grade,Automated Readability,coleman_liau,positive_sentiment,negative_sentiment,neutral_sentiment,discourse_marker,grammar,sw_rate,sum_repeated_ngrams,count_repeated_ngrams,max_occurrence_ngrams,label
150,150,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
150,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Traffic congestion is a pressing issue in urban areas, causing stress and wasted time for commuters. However, there are alternative forms of transport that have the potential to alleviate this congestion and improve overall transportation efficiency. In this essay, we will examine some of these alternative forms of transport and explain how they can help to reduce traffic jams in cities.

One alternative form of transport that has gained popularity in recent years is cycling. Cycling is a sustainable and affordable way to travel short distances, and it can help to reduce congestion by taking cars off the road. Many cities have implemented cycling infrastructure, such as dedicated bike lanes, to encourage more people to take up cycling. In addition, bike sharing schemes, where people can rent bikes for short periods of time, are becoming increasingly popular.

Another alternative form of transport that can help to alleviate traffic congestion is walking. Walking is a free and convenient way to travel short distances. It also has the added benefit of promoting physical activity, which can have positive effects on health. Many cities have implemented pedestrian zones, where cars are not allowed, to encourage more people to walk.

Public transportation is also a great way to alleviate traffic congestion. Buses and trains can transport large numbers of people at once, reducing the number of cars on the road. Many cities have invested in public transportation infrastructure, such as dedicated bus lanes and subway systems, to make it more accessible and efficient.

Electric and hybrid vehicles are another alternative form of transport that can help to alleviate traffic congestion. These vehicles produce fewer emissions than traditional cars, making them a more environmentally friendly option. In addition, many governments offer financial incentives for people who buy electric or hybrid vehicles, which can help to encourage more people to make the switch.

In conclusion, there are many alternative forms of transport that can help to alleviate traffic congestion in urban areas. These include cycling, walking, public transportation, and electric and hybrid vehicles. By promoting these alternative forms of transport, cities can reduce congestion, improve transportation efficiency, and help to create healthier and more sustainable communities.",Alternative forms of transport to alleviate traffic congestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5.886666666666667,407.32666666666665,20.64,19.889649281342223,31.94,10.073333333333334,9.060015876810672,216.86,0.3074382013516039,0.15907256718798715,0.11797709752567329,0.022178980267992282,0.02576928263119861,13.186666666666667,0.05864288457074163,6.11508,0.4499839264433487,405.0933333333333,159.36567078774843,0.86,-0.0454463146868941,159.32022447306153,13.42066666666667,15.671333333333331,15.367733333333332,0.17047333333333334,0.06373333333333332,0.7658,59.27333333333333,0.4,0.4048182693054779,10.953333333333333,4.946666666666666,2.3266666666666667,1.0
,,0.7731801900359205,51.660806047058216,3.1265908702288914,1.9402449668033042,4.4649717977118755,2.3802787797548484,1.299321051787765,30.024605122327216,0.02867583132241538,0.023573361374012093,0.026498448961631185,0.009587438009152013,0.011175324679124368,3.9278504233926554,0.017157952293155268,0.5276243136700952,0.03258910399506246,52.357489117285475,20.067536478144135,1.6629802631735284,0.10776994695438427,20.071497790428516,1.480173065641501,1.5793268749932874,1.826895686095602,0.05914816984088119,0.05090795308005317,0.061124474167733166,10.249175227361631,0.8669935711116855,0.037507102477503364,10.896299887137149,4.680082983642572,1.0066668148213886,0.0
,,4.0,196.0,12.0,16.066666666666666,24.0,1.0,5.7407407407407405,113.0,0.2455696202531645,0.1055276381909547,0.0514469453376205,0.0022522522522522,0.0021645021645021,5.0,0.0197628458498023,4.941,0.3647642679900744,192.0,74.82112118969994,0.0,-0.65642260422611,74.82112118969994,9.4,11.6,11.2,0.044,0.0,0.593,24.0,0.0,0.2918367346938775,0.0,0.0,1.0,1.0
,,5.0,373.0,18.0,18.5,29.0,9.0,8.0,194.25,0.2889937586522443,0.14526055340008823,0.0986835443037974,0.01520979020979015,0.017621334520704725,11.0,0.045982142857142826,5.716,0.4294978129517737,370.25,146.92470796094113,0.0,-0.034224280757470825,146.92470796094113,12.325000000000001,14.6,14.1,0.13425,0.028,0.73325,53.0,0.0,0.3785049771869885,2.0,1.0,2.0,1.0
,,6.0,403.0,20.0,19.849206349206348,31.0,10.0,9.100250626566417,216.5,0.30578624019061207,0.15859374999999995,0.11470188994465905,0.021909286833855797,0.02586304249626455,12.0,0.056507014997581,6.1145,0.4518058922959622,400.5,157.20199033618462,0.0,0.0,157.10888582103087,13.5,15.7,15.03,0.1655,0.05,0.771,58.0,0.0,0.40810471579702345,8.0,4.0,2.0,1.0
,,6.0,442.75,23.0,21.276143790849673,34.75,12.0,9.949342105263158,237.75,0.32387380061798665,0.17558397886266736,0.13584035012606444,0.028910388490029228,0.034714554636450776,16.0,0.069144493497196,6.42475,0.46882767083684307,441.25,173.13869945935133,1.0,0.0,173.13869945935133,14.4,16.8,16.517500000000002,0.205,0.084,0.80625,64.75,1.0,0.4323268921095008,17.75,7.0,3.0,1.0
,,8.0,547.0,30.0,25.166666666666668,48.0,15.0,12.05,285.0,0.4067796610169492,0.2105263157894736,0.1898148148148148,0.0455696202531645,0.05,24.0,0.109090909090909,7.733,0.5389221556886228,547.0,215.9485327783799,9.0,0.0,215.79713308779813,17.9,19.3,21.52,0.394,0.327,0.918,97.0,8.0,0.4846938775510204,56.0,22.0,7.0,1.0
